taxid	count	name	rank	superkindom	phylum	class	order	family	genus	species
109264	1	Aspergillus bombycis	species	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus bombycis
1093900	1	Phialemoniopsis curvata	species	Eukaryota	Ascomycota	Sordariomycetes	Xylariales		Phialemoniopsis	Phialemoniopsis curvata
1094350	1	Geosmithia morbida	species	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Geosmithia	Geosmithia morbida
1095194	1	Colletotrichum karsti	species	Eukaryota	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum karsti
1095630	1	Hyaloscypha bicolor E	strain	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha bicolor
1116229	1	Glarea lozoyensis ATCC 20868	strain	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Glarea	Glarea lozoyensis
112416	1	Letharia columbiana	species	Eukaryota	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Letharia	Letharia columbiana
112498	1	Ramularia collo-cygni	species	Eukaryota	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Ramularia	Ramularia collo-cygni
1130832	1	Rhodotorula toruloides NP11	strain	Eukaryota	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula toruloides
1136231	1	Candida orthopsilosis Co 90-125	strain	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	Candida orthopsilosis
1141098	1	Pseudomassariella vexata	species	Eukaryota	Ascomycota	Sordariomycetes	Xylariales	Pseudomassariaceae	Pseudomassariella	Pseudomassariella vexata
1150837	1	Didymella exigua CBS 183.55	strain	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	Didymella exigua
1159556	1	Ustilaginoidea virens	species	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Ustilaginoidea	Ustilaginoidea virens
1160497	1	Aspergillus glaucus CBS 516.65	strain	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus glaucus
116603	1	Suillus plorans	species	Eukaryota	Basidiomycota	Agaricomycetes	Boletales	Suillaceae	Suillus	Suillus plorans
1168221	1	Coniosporium apollinis CBS 100218	strain	Eukaryota	Ascomycota	Dothideomycetes			Coniosporium	Coniosporium apollinis
1168544	1	Cucurbitaria berberidis CBS 394.84	strain	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Cucurbitaria	Cucurbitaria berberidis
1170230	1	Penicillium digitatum Pd1	strain	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium digitatum
1176127	1	Aplosporella prunicola CBS 121167	strain	Eukaryota	Ascomycota	Dothideomycetes	Botryosphaeriales	Aplosporellaceae	Aplosporella	Aplosporella prunicola
1178016	1	Encephalitozoon romaleae SJ-2008	strain	Eukaryota	Microsporidia			Unikaryonidae	Encephalitozoon	Encephalitozoon romaleae
1182541	1	Capronia coronata CBS 617.96	strain	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Capronia	Capronia coronata
1182542	1	Capronia epimyces CBS 606.96	strain	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Capronia	Capronia epimyces
1182543	1	Cladophialophora psammophila CBS 110553	strain	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora psammophila
1182544	1	Cladophialophora yegresii CBS 114405	strain	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora yegresii
1182545	1	Exophiala aquamarina CBS 119918	strain	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala aquamarina
1186058	1	Trichosporon asahii var. asahii CBS 2479	strain	Eukaryota	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Trichosporon	Trichosporon asahii
1187904	1	Alternaria burnsii	species	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria burnsii
1196081	1	Talaromyces amestolkiae	species	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces amestolkiae
119953	1	Alternaria atra	species	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria atra
120017	1	Ustilago hordei	species	Eukaryota	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Ustilago	Ustilago hordei
1209926	1	Colletotrichum orchidophilum	species	Eukaryota	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum orchidophilum
1209932	1	Colletotrichum scovillei	species	Eukaryota	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum scovillei
1215731	1	Colletotrichum aenigma	species	Eukaryota	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum aenigma
121627	1	Talaromyces rugulosus	species	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces rugulosus
1220188	1	Aspergillus tanneri	species	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus tanneri
1220207	1	Aspergillus puulaauensis	species	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus puulaauensis
1220924	1	Cyphellophora europaea CBS 101466	strain	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora	Cyphellophora europaea
122368	1	Cercospora beticola	species	Eukaryota	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Cercospora	Cercospora beticola
1227346	1	Fusarium proliferatum ET1	strain	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium proliferatum
1229662	1	Pestalotiopsis fici W106-1	strain	Eukaryota	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	Pestalotiopsis fici
1230383	1	Malassezia sympodialis ATCC 42132	strain	Eukaryota	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia sympodialis
1231522	1	[Candida] duobushaemulonis	species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Clavispora	[Candida] duobushaemulonis
1245769	1	Lachancea lanzarotensis	species	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea	Lachancea lanzarotensis
1263415	1	Endocarpon pusillum Z07020	strain	Eukaryota	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Endocarpon	Endocarpon pusillum
1276141	1	Metarhizium brunneum ARSEF 3297	strain	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium brunneum
1277687	1	Pseudozyma flocculosa PF-1	strain	Eukaryota	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Pseudozyma	Pseudozyma flocculosa
1279043	1	Cladophialophora carrionii CBS 160.54	strain	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora carrionii
1279085	1	Fusarium fujikuroi IMI 58289	strain	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium fujikuroi
1280837	1	Meira miltonrushii	species	Eukaryota	Basidiomycota	Exobasidiomycetes	Exobasidiales	Brachybasidiaceae	Meira	Meira miltonrushii
1286976	1	Phaeoacremonium minimum UCRPA7	strain	Eukaryota	Ascomycota	Sordariomycetes	Togniniales	Togniniaceae	Phaeoacremonium	Phaeoacremonium minimum
1295528	1	Cryptococcus wingfieldii CBS 7118	strain	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus wingfieldii
1295533	1	Cryptococcus amylolentus CBS 6039	strain	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus amylolentus
