taxid	count	name	rank	superkindom	phylum	class	order	family	genus	species
159143	1	Facey's Paddock virus	no rank	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Faceys paddock orthobunyavirus
159144	1	Utinga virus	no rank	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Utinga orthobunyavirus
1591444	1	Thaumetopoea pityocampa iflavirus 1	species	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae		Thaumetopoea pityocampa iflavirus 1
159145	1	Ingwavuma virus	no rank	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Ingwavuma orthobunyavirus
159147	1	Mermet virus	no rank	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Mermet orthobunyavirus
159148	1	Shuni orthobunyavirus	species	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Shuni orthobunyavirus
159150	1	Shamonda orthobunyavirus	species	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Shamonda orthobunyavirus
159151	1	Peaton virus	no rank	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Peaton orthobunyavirus
159152	1	Sango virus	no rank	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Sango orthobunyavirus
159153	1	Planococcus citri densovirus	no rank	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Scindoambidensovirus	Hemipteran scindoambidensovirus 1
1592081	1	Sewage-associated gemycircularvirus 1	species	Viruses	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Genomoviridae	Gemycircularvirus	Sewage-associated gemycircularvirus 1
1592082	1	Sewage-associated circular DNA virus-15	species	Viruses						Sewage-associated circular DNA virus-15
1592083	1	Sewage-associated circular DNA virus-16	species	Viruses						Sewage-associated circular DNA virus-16
1592084	1	Sewage-associated circular DNA virus-17	species	Viruses						Sewage-associated circular DNA virus-17
