taxid	count	name	rank	superkindom	phylum	class	order	family	genus	species
2027919	1	Enterobacter cloacae complex sp.	species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae complex sp.
2041044	1	Eubacterium maltosivorans	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Eubacterium	Eubacterium maltosivorans
2041842	1	Neobittarella massiliensis	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Neobittarella	Neobittarella massiliensis
2041843	1	Anaeromassilibacillus sp. Marseille-P4683	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Anaeromassilibacillus	Anaeromassilibacillus sp. Marseille-P4683
2045301	1	'Megasphaera vaginalis' Bordigoni et al. 2020	species	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	'Megasphaera vaginalis' Bordigoni et al. 2020
2048242	1	Alistipes sp. Marseille-P5061	species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp. Marseille-P5061
2058289	1	Acidaminococcus provencensis	species	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus provencensis
2058292	1	Peptoniphilus sp. Marseille-P3761	species	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus sp. Marseille-P3761
2066054	1	Actinomyces sp. UMB0138	species	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces sp. UMB0138
2067550	1	Clostridium sp. chh4-2	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sp. chh4-2
2069309	1	Streptococcus sp. UMB1385	species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. UMB1385
2070686	1	Enteroscipio rubneri	species	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Enteroscipio	Enteroscipio rubneri
2071710	1	Enterobacter sichuanensis	species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter sichuanensis
2086578	1	Intestinibacillus sp. Marseille-P4005	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Intestinibacillus	Intestinibacillus sp. Marseille-P4005
2093900	1	Escherichia sp. MOD1-EC7003	species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia sp. MOD1-EC7003
2108523	1	Lawsonibacter asaccharolyticus	species	Bacteria	Firmicutes	Clostridia	Eubacteriales		Lawsonibacter	Lawsonibacter asaccharolyticus
2109729	1	Enterobacter sp. FS01	species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter sp. FS01
215200	1	Peptostreptococcus russellii	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus russellii
2211183	1	Evtepia gabavorous	species	Bacteria	Firmicutes	Clostridia	Eubacteriales		Evtepia	Evtepia gabavorous
221953	1	uncultured Brachyspira sp.	species	Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira	uncultured Brachyspira sp.
2219695	1	Luxibacter massiliensis	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Luxibacter	Luxibacter massiliensis
224308	1	Bacillus subtilis subsp. subtilis str. 168	strain	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis
225992	1	Comamonas kerstersii	species	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas kerstersii
2283190	1	Streptococcus sp. LQJ-218	species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. LQJ-218
2291994	1	Absiella sp. AM09-50	species	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absiella	Absiella sp. AM09-50
2292027	1	Collinsella sp. AM17-1	species	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp. AM17-1
2292046	1	Lachnotalea sp. AF33-28	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnotalea	Lachnotalea sp. AF33-28
2292053	1	Parabacteroides sp. AM08-6	species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides sp. AM08-6
2292066	1	Roseburia sp. AM23-20	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Roseburia	Roseburia sp. AM23-20
2292069	1	Ruminococcus sp. AF41-9	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus	Ruminococcus sp. AF41-9
2292072	1	Ruminococcus sp. AF46-10NS	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus	Ruminococcus sp. AF46-10NS
2292224	1	Collinsella sp. AF23-4AC	species	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp. AF23-4AC
2292231	1	Coprococcus sp. AF21-14LB	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Coprococcus	Coprococcus sp. AF21-14LB
2292236	1	Odoribacter sp. AF15-53	species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Odoribacter	Odoribacter sp. AF15-53
2292244	1	Pseudoflavonifractor sp. AF19-9AC	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Pseudoflavonifractor	Pseudoflavonifractor sp. AF19-9AC
2292251	1	Ruminococcus sp. AF21-42	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus	Ruminococcus sp. AF21-42
2292275	1	Clostridiaceae bacterium OM02-2AC	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae		Clostridiaceae bacterium OM02-2AC
2292285	1	Bacteroides sp. OM08-17BH	species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. OM08-17BH
2292287	1	Blautia sp. OF03-15BH	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	Blautia sp. OF03-15BH
2292310	1	Clostridium sp. OF09-36	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sp. OF09-36
2292311	1	Clostridium sp. OM02-18AC	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sp. OM02-18AC
2292330	1	Collinsella sp. TF05-9AC	species	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp. TF05-9AC
2292348	1	Eisenbergiella sp. OF01-20	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Eisenbergiella	Eisenbergiella sp. OF01-20
2292363	1	Parabacteroides sp. TM07-1AC	species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides sp. TM07-1AC
2292893	1	Firmicutes bacterium AM41-11	species	Bacteria	Firmicutes					Firmicutes bacterium AM41-11
2293024	1	Clostridium sp. AM22-11AC	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sp. AM22-11AC
2293098	1	Dorea sp. AM10-31	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Dorea	Dorea sp. AM10-31
2293102	1	Erysipelatoclostridium sp. AM42-17	species	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	Erysipelatoclostridium sp. AM42-17
2293104	1	Eubacterium sp. AF16-48	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Eubacterium	Eubacterium sp. AF16-48
2293138	1	Roseburia sp. AM59-24XD	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Roseburia	Roseburia sp. AM59-24XD
2293174	1	Ruminococcus sp. AF31-8BH	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus	Ruminococcus sp. AF31-8BH
2293831	1	Lachnospiraceae bacterium OF09-6	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae		Lachnospiraceae bacterium OF09-6
2316025	1	Mediterraneibacter butyricigenes	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Mediterraneibacter	Mediterraneibacter butyricigenes
235279	1	Helicobacter hepaticus ATCC 51449	strain	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter hepaticus
2364787	1	Alistipes megaguti	species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes megaguti
242230	1	Eggerthella sinensis	species	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Eggerthella	Eggerthella sinensis
2447885	1	Bacteroides faecalis	species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides faecalis
2478952	1	Akkermansia sp. aa_0143	species	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia sp. aa_0143
2478976	1	Escherichia sp. E1V33	species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia sp. E1V33
2479843	1	Agathobaculum sp. Marseille-P7918	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Agathobaculum	Agathobaculum sp. Marseille-P7918
248315	1	Veillonella rodentium	species	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella rodentium
2485119	1	Raoultella sp. BIGb0399	species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Raoultella	Raoultella sp. BIGb0399
2490956	1	Veillonella sp. 3310	species	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella sp. 3310
2494702	1	Enterobacter huaxiensis	species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter huaxiensis
2497875	1	Enterobacter chuandaensis	species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter chuandaensis
2500132	1	Enterobacter sp. N18-03635	species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter sp. N18-03635
2516956	1	Enterorhabdus sp. NM05_H27	species	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Enterorhabdus	Enterorhabdus sp. NM05_H27
2516960	1	Bacteroides sp. NM69_E16B	species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. NM69_E16B
2529381	1	Enterobacter wuhouensis	species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter wuhouensis
253813	1	uncultured Phyllobacterium sp.	species	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Phyllobacterium	uncultured Phyllobacterium sp.
2546350	1	Citrobacter arsenatis	species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter arsenatis
2548455	1	Clostridium cuniculi	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium cuniculi
255723	1	Slackia faecicanis	species	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Slackia	Slackia faecicanis
2558278	1	Barnesiella sp. WM24	species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	Barnesiella sp. WM24
